/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v2_day ---
0:	learn: 2.1908860	total: 1.77ms	remaining: 479ms
227:	learn: 1.3334769	total: 2.35s	remaining: 453ms
228:	learn: 1.3318526	total: 2.35s	remaining: 441ms
229:	learn: 1.3300611	total: 2.35s	remaining: 429ms
230:	learn: 1.3276589	total: 2.35s	remaining: 417ms
231:	learn: 1.3249684	total: 2.35s	remaining: 406ms
232:	learn: 1.3232021	total: 2.35s	remaining: 394ms
233:	learn: 1.3209824	total: 2.35s	remaining: 382ms
234:	learn: 1.3190105	total: 2.36s	remaining: 371ms
235:	learn: 1.3173131	total: 2.36s	remaining: 360ms
236:	learn: 1.3151602	total: 2.36s	remaining: 348ms
237:	learn: 1.3130910	total: 2.36s	remaining: 337ms
238:	learn: 1.3109764	total: 2.36s	remaining: 326ms
239:	learn: 1.3086318	total: 2.36s	remaining: 315ms
240:	learn: 1.3067889	total: 2.36s	remaining: 304ms
241:	learn: 1.3045459	total: 2.37s	remaining: 294ms
242:	learn: 1.3020181	total: 2.37s	remaining: 283ms
243:	learn: 1.3000648	total: 2.37s	remaining: 272ms
244:	learn: 1.2980826	total: 2.37s	remaining: 261ms
245:	learn: 1.2970143	total: 2.37s	remaining: 251ms
246:	learn: 1.2954635	total: 2.37s	remaining: 240ms
247:	learn: 1.2930418	total: 2.38s	remaining: 230ms
248:	learn: 1.2906589	total: 2.57s	remaining: 237ms
249:	learn: 1.2886990	total: 2.57s	remaining: 226ms
250:	learn: 1.2864722	total: 2.57s	remaining: 215ms
251:	learn: 1.2842727	total: 2.57s	remaining: 204ms
252:	learn: 1.2827601	total: 2.58s	remaining: 193ms
253:	learn: 1.2805989	total: 2.63s	remaining: 187ms
254:	learn: 1.2787482	total: 2.64s	remaining: 176ms
255:	learn: 1.2770138	total: 2.64s	remaining: 165ms
256:	learn: 1.2754499	total: 2.64s	remaining: 154ms
257:	learn: 1.2733253	total: 2.64s	remaining: 143ms
258:	learn: 1.2716166	total: 2.64s	remaining: 133ms
259:	learn: 1.2695573	total: 2.64s	remaining: 122ms
260:	learn: 1.2676838	total: 2.64s	remaining: 111ms
261:	learn: 1.2665128	total: 2.64s	remaining: 101ms
262:	learn: 1.2640140	total: 2.65s	remaining: 90.5ms
263:	learn: 1.2616166	total: 2.65s	remaining: 80.2ms
264:	learn: 1.2598076	total: 2.65s	remaining: 69.9ms
265:	learn: 1.2578176	total: 2.65s	remaining: 59.8ms
266:	learn: 1.2555993	total: 2.65s	remaining: 49.6ms
267:	learn: 1.2540792	total: 2.66s	remaining: 39.7ms
268:	learn: 1.2530672	total: 2.66s	remaining: 29.7ms
269:	learn: 1.2508295	total: 2.66s	remaining: 19.7ms
270:	learn: 1.2492988	total: 2.67s	remaining: 9.84ms
271:	learn: 1.2471528	total: 2.67s	remaining: 0us
v2_day accuracy: 0.3846
